2020-06-05 15:02:07.545 INFO   o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.gusangyuan.expense.ExpenseApplicationTests], using SpringBootContextLoader 
2020-06-05 15:02:07.554 INFO   o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.gusangyuan.expense.ExpenseApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}. 
2020-06-05 15:02:07.554 INFO   o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.gusangyuan.expense.ExpenseApplicationTests]: ExpenseApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration. 
2020-06-05 15:02:07.672 INFO   o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.gusangyuan.expense.ExpenseApplication for test class com.gusangyuan.expense.ExpenseApplicationTests 
2020-06-05 15:02:07.761 INFO   o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener] 
2020-06-05 15:02:07.772 INFO   o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@394df057, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4961f6af, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5aebe890, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@65d09a04, org.springframework.test.context.support.DirtiesContextTestExecutionListener@33c911a1, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@75db5df9, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@707194ba, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1190200a, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6a2f6f80, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@45b4c3a9] 
2020-06-05 15:02:08.095 INFO   c.g.expense.ExpenseApplicationTests - Starting ExpenseApplicationTests on XTZ-01905221424 with PID 13940 (started by Administrator in E:\expense) 
2020-06-05 15:02:08.096 INFO   c.g.expense.ExpenseApplicationTests - No active profile set, falling back to default profiles: default 
2020-06-05 15:02:09.286 INFO   o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor' 
2020-06-05 15:02:09.502 INFO   o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index 
2020-06-05 15:02:09.633 INFO   c.g.expense.ExpenseApplicationTests - Started ExpenseApplicationTests in 1.785 seconds (JVM running for 2.793) 
